name,repo
gip,github.com/paneldata/gip
iab-soep,github.com/paneldata/iab-soep
pairfam,github.com/paneldata/pairfam
piaac-l,github.com/paneldata/piaac-l
soep-base,github.com/paneldata/soep-base
soep-core,github.com/paneldata/soep-core
soep-is,github.com/paneldata/soep-is
soep-k2id,github.com/paneldata/soep-k2id
soep-long,github.com/paneldata/soep-long
soep-pretest,github.com/paneldata/soep-pretest
twinlife,github.com/paneldata/twinlife
