name,repo
soep-core,github.com/paneldata/soep-core
soep-long,github.com/paneldata/soep-long
soep-is,github.com/paneldata/soep-is
soep-pretest,github.com/paneldata/soep-pretest
twinlife,github.com/paneldata/twinlife
pairfam,github.com/paneldata/pairfam
iab-soep-mig,github.com/paneldata/iab-soep
